bw_req,latency_req,priority,prb_usage,queue_len,hour_of_day,prb_allocated,expected_latency,sla_ok,type_emergency,type_industry,type_normal
1.902,50,2,91.3,20,14,16,79.08,0,False,True,False
5.249,10,3,83.6,33,21,30,15.7,0,True,False,False
0.409,200,1,76.4,37,18,5,367.99,0,False,False,True
2.032,50,2,96.9,23,0,15,85.8,0,False,True,False
0.531,200,1,78.0,16,4,6,351.48,0,False,False,True
0.607,200,1,75.7,27,12,5,357.12,0,False,False,True
2.045,50,2,91.3,38,4,16,89.3,0,False,True,False
0.609,200,1,80.5,31,18,5,371.12,0,False,False,True
0.615,200,1,49.7,39,3,6,356.71,0,False,False,True
2.203,50,2,77.3,38,10,15,83.95,0,False,True,False
5.02,10,3,59.8,2,3,30,14.95,0,True,False,False
2.479,50,2,69.3,35,6,15,88.89,0,False,True,False
2.039,50,2,42.3,2,17,21,69.65,0,False,True,False
0.606,200,1,88.9,34,5,7,374.31,0,False,False,True
0.469,200,1,62.7,21,16,5,350.93,0,False,False,True
0.565,200,1,86.6,21,12,5,362.61,0,False,False,True
0.467,200,1,58.0,15,15,5,332.42,0,False,False,True
0.435,200,1,80.8,13,23,5,344.75,0,False,False,True
2.271,50,2,86.8,38,13,15,91.92,0,False,True,False
0.461,200,1,71.4,38,20,5,369.65,0,False,False,True
0.406,200,1,81.1,8,13,5,342.58,0,False,False,True
0.537,200,1,45.2,26,9,8,335.39,0,False,False,True
0.617,200,1,50.8,37,21,5,358.38,0,False,False,True
1.617,50,2,42.8,38,13,17,78.56,0,False,True,False
1.95,50,2,74.0,24,12,15,82.13,0,False,True,False
1.86,50,2,87.8,8,22,17,81.3,0,False,True,False
0.451,200,1,60.1,27,13,5,352.32,0,False,False,True
0.615,200,1,94.9,10,9,6,350.37,0,False,False,True
0.482,200,1,74.3,6,20,5,333.79,0,False,False,True
5.651,10,3,86.1,22,4,31,18.32,0,True,False,False
0.472,200,1,76.5,17,0,7,340.73,0,False,False,True
0.545,200,1,49.5,46,22,6,357.88,0,False,False,True
2.221,50,2,42.7,13,0,15,77.87,0,False,True,False
2.101,50,2,92.0,16,16,15,80.75,0,False,True,False
1.757,50,2,79.0,11,0,15,78.32,0,False,True,False
0.512,200,1,63.1,10,10,5,340.2,0,False,False,True
2.506,50,2,43.2,7,6,18,69.57,0,False,True,False
0.62,200,1,51.2,48,14,5,370.29,0,False,False,True
0.442,200,1,95.2,36,12,5,380.31,0,False,False,True
1.671,50,2,86.6,36,22,15,87.76,0,False,True,False
0.528,200,1,46.1,22,23,6,337.0,0,False,False,True
0.61,200,1,71.1,4,3,8,329.87,0,False,False,True
1.954,50,2,77.4,22,1,17,78.67,0,False,True,False
0.414,200,1,41.0,29,21,5,340.66,0,False,False,True
2.491,50,2,72.5,9,13,15,75.39,0,False,True,False
2.292,50,2,78.4,33,2,15,87.5,0,False,True,False
4.609,10,3,85.5,41,18,30,19.97,0,True,False,False
0.496,200,1,75.9,7,13,7,333.14,0,False,False,True
0.591,200,1,93.4,10,10,5,358.07,0,False,False,True
4.598,10,3,75.6,36,3,30,13.0,0,True,False,False
2.512,50,2,76.1,14,14,15,75.82,0,False,True,False
0.494,200,1,75.7,49,11,5,383.44,0,False,False,True
2.005,50,2,74.0,38,12,15,90.32,0,False,True,False
1.87,50,2,86.7,25,5,17,81.28,0,False,True,False
0.566,200,1,95.0,37,7,6,381.7,0,False,False,True
0.558,200,1,96.3,45,8,5,386.92,0,False,False,True
1.899,50,2,45.7,12,2,15,74.26,0,False,True,False
0.422,200,1,59.5,3,13,8,317.86,0,False,False,True
0.442,200,1,96.2,23,8,5,363.92,0,False,False,True
1.657,50,2,46.9,44,14,15,81.1,0,False,True,False
0.476,200,1,67.5,42,11,5,372.32,0,False,False,True
1.774,50,2,60.6,37,6,15,88.93,0,False,True,False
0.519,200,1,86.5,6,10,7,341.35,0,False,False,True
0.622,200,1,63.4,2,10,6,324.21,0,False,False,True
0.436,200,1,45.3,46,11,8,350.54,0,False,False,True
4.529,10,3,82.0,30,7,30,11.84,0,True,False,False
0.64,200,1,88.5,25,18,7,359.03,0,False,False,True
1.619,50,2,79.3,27,7,15,83.62,0,False,True,False
2.125,50,2,51.4,29,6,16,82.14,0,False,True,False
5.107,10,3,81.7,47,15,30,12.83,0,True,False,False
0.488,200,1,65.1,5,16,6,330.04,0,False,False,True
0.585,200,1,41.7,43,22,5,355.4,0,False,False,True
4.511,10,3,75.7,16,12,30,14.12,0,True,False,False
0.521,200,1,72.3,49,5,5,379.39,0,False,False,True
2.319,50,2,73.4,8,9,15,78.27,0,False,True,False
0.461,200,1,92.1,22,21,5,365.09,0,False,False,True
2.232,50,2,70.9,23,15,15,86.31,0,False,True,False
0.515,200,1,50.4,9,14,8,318.3,0,False,False,True
2.527,50,2,80.5,34,2,15,82.04,0,False,True,False
0.646,200,1,78.0,48,16,5,378.39,0,False,False,True
2.566,50,2,50.0,5,2,18,70.39,0,False,True,False
2.08,50,2,95.5,28,17,16,82.11,0,False,True,False
1.931,50,2,54.2,48,23,15,86.09,0,False,True,False
0.649,200,1,85.6,29,2,6,362.43,0,False,False,True
0.631,200,1,60.9,49,18,5,370.73,0,False,False,True
2.598,50,2,88.9,40,2,15,91.86,0,False,True,False
0.554,200,1,42.6,3,21,7,315.05,0,False,False,True
0.556,200,1,47.6,1,20,8,314.03,0,False,False,True
0.502,200,1,84.0,36,12,5,377.98,0,False,False,True
0.422,200,1,93.4,12,6,6,350.21,0,False,False,True
2.142,50,2,95.2,5,8,17,84.43,0,False,True,False
4.125,10,3,48.5,24,0,32,18.48,0,True,False,False
0.534,200,1,68.6,2,7,5,325.8,0,False,False,True
0.412,200,1,74.2,5,19,8,333.55,0,False,False,True
0.578,200,1,86.6,20,17,5,359.49,0,False,False,True
2.365,50,2,67.7,3,0,15,73.25,0,False,True,False
2.472,50,2,74.9,25,18,15,83.29,0,False,True,False
0.418,200,1,75.7,13,14,5,347.14,0,False,False,True
0.634,200,1,51.8,40,21,5,354.9,0,False,False,True
0.537,200,1,71.1,12,12,7,332.17,0,False,False,True
0.641,200,1,92.3,24,15,6,360.67,0,False,False,True
0.58,200,1,45.8,13,17,7,318.95,0,False,False,True
4.685,10,3,58.2,10,23,30,9.76,1,True,False,False
2.467,50,2,73.8,16,2,15,82.7,0,False,True,False
0.59,200,1,46.0,49,0,5,361.02,0,False,False,True
0.519,200,1,60.6,14,19,5,340.83,0,False,False,True
4.852,10,3,85.9,46,0,30,17.01,0,True,False,False
2.535,50,2,81.4,19,5,15,83.63,0,False,True,False
0.532,200,1,71.8,10,9,8,329.14,0,False,False,True
5.946,10,3,49.7,30,16,30,14.68,0,True,False,False
2.152,50,2,60.3,49,20,15,85.21,0,False,True,False
0.47,200,1,50.5,6,23,7,321.4,0,False,False,True
0.451,200,1,80.4,38,2,6,374.0,0,False,False,True
0.485,200,1,72.1,6,12,5,337.59,0,False,False,True
2.063,50,2,86.6,7,13,15,79.65,0,False,True,False
0.447,200,1,56.1,32,16,6,346.48,0,False,False,True
1.796,50,2,93.8,27,19,15,82.72,0,False,True,False
2.515,50,2,68.1,35,7,16,86.25,0,False,True,False
0.532,200,1,51.5,28,2,6,348.89,0,False,False,True
0.601,200,1,84.8,36,22,5,370.89,0,False,False,True
0.471,200,1,61.4,15,17,5,335.11,0,False,False,True
0.405,200,1,45.8,4,21,7,310.1,0,False,False,True
0.612,200,1,70.4,28,23,5,353.82,0,False,False,True
6.19,10,3,84.6,14,21,30,15.74,0,True,False,False
2.546,50,2,73.0,12,2,17,80.57,0,False,True,False
2.105,50,2,78.8,25,20,15,85.93,0,False,True,False
1.736,50,2,87.7,44,17,17,92.42,0,False,True,False
0.415,200,1,65.7,35,4,7,353.34,0,False,False,True
1.653,50,2,75.7,17,10,15,85.09,0,False,True,False
0.403,200,1,90.3,12,12,5,351.87,0,False,False,True
0.548,200,1,52.0,7,13,8,315.61,0,False,False,True
0.404,200,1,60.5,24,5,5,344.26,0,False,False,True
0.574,200,1,76.6,34,7,5,368.85,0,False,False,True
0.435,200,1,92.5,12,10,6,353.61,0,False,False,True
0.4,200,1,91.0,11,21,5,349.0,0,False,False,True
2.548,50,2,54.7,18,13,15,81.22,0,False,True,False
0.57,200,1,90.7,8,3,5,354.24,0,False,False,True
1.705,50,2,55.3,8,6,15,72.43,0,False,True,False
5.996,10,3,80.3,28,6,31,10.41,0,True,False,False
0.444,200,1,94.5,42,17,6,382.6,0,False,False,True
2.179,50,2,91.9,3,11,15,84.88,0,False,True,False
0.44,200,1,60.2,40,2,7,355.78,0,False,False,True
0.455,200,1,81.6,9,15,6,344.03,0,False,False,True
0.442,200,1,85.5,14,11,5,352.44,0,False,False,True
1.774,50,2,59.2,40,9,16,84.38,0,False,True,False
5.549,10,3,77.8,47,13,30,19.76,0,True,False,False
0.518,200,1,69.6,37,8,5,369.69,0,False,False,True
0.525,200,1,95.9,43,7,6,386.92,0,False,False,True
0.488,200,1,92.9,2,0,5,346.15,0,False,False,True
0.563,200,1,54.6,33,14,6,351.17,0,False,False,True
0.601,200,1,69.0,1,10,8,319.48,0,False,False,True
2.169,50,2,89.5,8,9,15,79.08,0,False,True,False
2.345,50,2,95.0,15,20,16,84.98,0,False,True,False
0.473,200,1,78.3,46,23,5,378.6,0,False,False,True
2.383,50,2,65.2,43,2,15,82.79,0,False,True,False
2.166,50,2,68.7,28,7,15,83.19,0,False,True,False
0.602,200,1,60.6,47,13,6,370.64,0,False,False,True
0.479,200,1,59.5,49,12,7,365.35,0,False,False,True
0.421,200,1,79.0,13,0,6,343.99,0,False,False,True
0.42,200,1,51.0,49,8,6,366.43,0,False,False,True
6.179,10,3,53.5,25,10,31,14.07,0,True,False,False
0.461,200,1,82.5,40,0,6,378.5,0,False,False,True
0.566,200,1,46.0,31,5,6,346.66,0,False,False,True
2.425,50,2,89.5,29,10,15,83.98,0,False,True,False
0.65,200,1,50.0,7,22,6,321.47,0,False,False,True
0.512,200,1,94.4,34,12,7,374.88,0,False,False,True
0.416,200,1,66.5,17,1,7,340.69,0,False,False,True
0.464,200,1,85.6,15,7,5,357.16,0,False,False,True
0.566,200,1,59.3,8,15,6,328.84,0,False,False,True
2.318,50,2,73.1,37,15,15,89.74,0,False,True,False
2.201,50,2,70.2,25,18,15,86.33,0,False,True,False
0.583,200,1,69.0,45,6,7,372.23,0,False,False,True
0.507,200,1,77.0,27,0,5,365.61,0,False,False,True
0.469,200,1,68.4,48,7,6,377.61,0,False,False,True
0.571,200,1,90.3,29,17,6,372.78,0,False,False,True
0.565,200,1,69.8,8,5,8,327.87,0,False,False,True
0.587,200,1,51.9,12,22,5,326.9,0,False,False,True
0.478,200,1,90.5,32,6,5,376.77,0,False,False,True
0.467,200,1,90.6,35,1,5,373.43,0,False,False,True
0.637,200,1,83.7,32,19,5,367.24,0,False,False,True
0.523,200,1,44.3,6,19,9,308.87,0,False,False,True
0.639,200,1,89.8,46,21,5,388.95,0,False,False,True
1.798,50,2,48.2,34,10,15,76.99,0,False,True,False
2.152,50,2,87.9,7,16,15,82.77,0,False,True,False
4.576,10,3,79.1,49,11,31,19.78,0,True,False,False
0.637,200,1,67.7,18,12,6,342.19,0,False,False,True
4.653,10,3,94.0,23,9,30,16.7,0,True,False,False
0.642,200,1,80.7,34,3,7,366.14,0,False,False,True
0.535,200,1,82.7,40,18,5,376.94,0,False,False,True
2.223,50,2,40.6,6,15,17,71.89,0,False,True,False
0.609,200,1,49.3,49,11,8,356.57,0,False,False,True
5.027,10,3,52.4,36,20,32,18.29,0,True,False,False
5.028,10,3,48.3,42,16,32,11.56,0,True,False,False
0.42,200,1,67.0,11,8,7,335.28,0,False,False,True
1.887,50,2,71.9,13,22,15,81.49,0,False,True,False
1.652,50,2,84.6,12,1,15,81.4,0,False,True,False
0.458,200,1,88.2,2,6,5,338.98,0,False,False,True
0.456,200,1,52.1,2,15,10,312.34,0,False,False,True
2.33,50,2,81.9,7,5,17,81.99,0,False,True,False
0.458,200,1,46.6,6,6,5,318.96,0,False,False,True
5.673,10,3,90.6,39,1,30,17.15,0,True,False,False
6.426,10,3,71.9,28,6,30,10.67,0,True,False,False
0.54,200,1,68.7,18,9,6,346.72,0,False,False,True
0.479,200,1,67.6,1,19,7,326.67,0,False,False,True
0.578,200,1,60.9,46,3,7,368.85,0,False,False,True
0.548,200,1,74.6,2,22,9,321.16,0,False,False,True
0.605,200,1,46.7,37,22,5,355.0,0,False,False,True
0.537,200,1,65.8,36,16,7,362.73,0,False,False,True
2.426,50,2,43.4,29,7,15,83.2,0,False,True,False
0.635,200,1,82.2,10,17,5,346.53,0,False,False,True
1.649,50,2,50.9,27,13,15,78.85,0,False,True,False
0.614,200,1,82.7,48,13,6,380.14,0,False,False,True
6.302,10,3,73.2,49,20,30,20.34,0,True,False,False
4.531,10,3,69.6,34,9,30,11.33,0,True,False,False
0.534,200,1,93.4,43,22,5,389.18,0,False,False,True
0.462,200,1,42.1,6,17,5,315.76,0,False,False,True
0.493,200,1,68.6,24,15,7,349.18,0,False,False,True
0.595,200,1,83.7,46,3,5,386.8,0,False,False,True
2.293,50,2,71.7,39,6,15,89.31,0,False,True,False
2.149,50,2,93.0,41,23,15,93.89,0,False,True,False
2.187,50,2,44.9,2,5,20,70.75,0,False,True,False
0.574,200,1,45.2,11,14,8,322.11,0,False,False,True
0.624,200,1,79.1,7,14,5,341.34,0,False,False,True
0.502,200,1,64.4,20,1,5,343.65,0,False,False,True
1.921,50,2,47.7,11,0,15,74.12,0,False,True,False
0.602,200,1,62.1,23,20,6,343.58,0,False,False,True
0.586,200,1,48.7,30,0,7,339.18,0,False,False,True
0.416,200,1,47.5,13,15,8,319.03,0,False,False,True
0.539,200,1,70.1,46,0,5,378.08,0,False,False,True
0.404,200,1,69.5,17,21,5,344.72,0,False,False,True
2.143,50,2,44.1,42,13,16,83.89,0,False,True,False
2.403,50,2,72.0,32,18,15,82.98,0,False,True,False
0.602,200,1,56.8,30,23,6,346.35,0,False,False,True
5.016,10,3,88.5,1,8,31,14.28,0,True,False,False
2.261,50,2,91.5,4,8,15,79.74,0,False,True,False
4.546,10,3,47.4,39,8,30,16.68,0,True,False,False
4.609,10,3,66.7,16,0,30,9.81,1,True,False,False
0.607,200,1,64.4,17,21,7,338.64,0,False,False,True
0.614,200,1,67.0,18,10,5,344.87,0,False,False,True
0.439,200,1,77.9,13,12,5,351.13,0,False,False,True
5.105,10,3,48.1,19,8,31,14.91,0,True,False,False
0.613,200,1,82.0,42,20,5,374.44,0,False,False,True
0.648,200,1,63.2,41,21,5,367.29,0,False,False,True
1.774,50,2,94.9,27,8,15,91.6,0,False,True,False
0.472,200,1,56.0,6,4,6,327.53,0,False,False,True
2.506,50,2,95.6,36,20,15,86.84,0,False,True,False
0.528,200,1,86.0,16,21,6,351.9,0,False,False,True
0.472,200,1,82.0,29,17,5,361.25,0,False,False,True
4.888,10,3,67.5,1,14,31,10.94,0,True,False,False
2.0,50,2,84.4,34,13,15,87.29,0,False,True,False
0.606,200,1,57.3,1,12,6,322.26,0,False,False,True
0.465,200,1,54.5,23,15,7,334.18,0,False,False,True
0.532,200,1,43.3,11,9,6,322.33,0,False,False,True
0.597,200,1,86.6,9,9,7,344.11,0,False,False,True
1.78,50,2,45.7,31,16,15,83.19,0,False,True,False
5.193,10,3,47.5,4,3,30,16.47,0,True,False,False
0.577,200,1,67.5,10,1,6,338.2,0,False,False,True
5.869,10,3,53.3,30,1,30,10.59,0,True,False,False
0.641,200,1,56.5,13,14,8,325.13,0,False,False,True
0.634,200,1,60.7,19,14,5,344.62,0,False,False,True
0.472,200,1,73.4,18,17,5,351.99,0,False,False,True
2.114,50,2,58.9,31,9,16,81.66,0,False,True,False
0.5,200,1,88.7,47,15,5,389.62,0,False,False,True
0.551,200,1,46.1,29,10,5,348.26,0,False,False,True
0.558,200,1,44.1,22,18,5,333.3,0,False,False,True
0.45,200,1,80.8,25,1,5,361.76,0,False,False,True
2.558,50,2,68.7,13,20,15,82.74,0,False,True,False
0.509,200,1,51.0,32,21,5,347.76,0,False,False,True
0.592,200,1,51.7,4,2,6,315.07,0,False,False,True
2.537,50,2,46.1,17,15,15,76.89,0,False,True,False
5.151,10,3,91.3,18,19,30,14.72,0,True,False,False
1.712,50,2,46.6,18,18,16,77.78,0,False,True,False
5.907,10,3,83.6,22,16,31,17.75,0,True,False,False
6.129,10,3,67.5,21,11,32,9.66,1,True,False,False
0.632,200,1,77.0,46,10,6,375.99,0,False,False,True
6.277,10,3,75.1,47,11,30,12.96,0,True,False,False
2.166,50,2,75.1,13,8,16,81.01,0,False,True,False
0.575,200,1,76.4,38,9,7,366.46,0,False,False,True
4.397,10,3,43.0,49,12,32,12.91,0,True,False,False
0.592,200,1,68.4,22,12,5,351.47,0,False,False,True
2.138,50,2,40.3,15,0,15,79.24,0,False,True,False
1.747,50,2,80.5,47,15,15,86.88,0,False,True,False
0.627,200,1,45.3,12,19,6,325.95,0,False,False,True
0.576,200,1,94.5,33,11,5,375.18,0,False,False,True
0.432,200,1,88.0,33,12,6,366.56,0,False,False,True
0.544,200,1,76.6,44,10,7,374.95,0,False,False,True
0.607,200,1,84.0,19,1,6,356.61,0,False,False,True
1.953,50,2,58.6,23,4,17,78.62,0,False,True,False
1.757,50,2,41.8,15,0,15,71.48,0,False,True,False
0.632,200,1,73.0,41,17,5,374.36,0,False,False,True
0.605,200,1,53.5,27,10,5,345.29,0,False,False,True
0.573,200,1,62.1,15,2,7,330.77,0,False,False,True
0.569,200,1,54.2,9,8,5,325.94,0,False,False,True
2.104,50,2,89.3,9,12,16,76.38,0,False,True,False
0.624,200,1,53.0,36,0,5,359.9,0,False,False,True
2.393,50,2,74.4,45,14,15,90.36,0,False,True,False
0.554,200,1,40.2,41,9,7,348.48,0,False,False,True
0.547,200,1,65.4,12,17,7,330.28,0,False,False,True
0.616,200,1,55.2,21,10,5,338.13,0,False,False,True
0.633,200,1,61.8,32,16,5,352.93,0,False,False,True
0.512,200,1,87.3,41,2,5,380.72,0,False,False,True
2.09,50,2,46.8,33,1,15,79.93,0,False,True,False
0.515,200,1,40.9,47,11,8,347.85,0,False,False,True
0.55,200,1,42.0,34,1,6,348.44,0,False,False,True
0.53,200,1,40.8,23,3,8,327.52,0,False,False,True
1.783,50,2,72.7,32,0,15,85.24,0,False,True,False
0.402,200,1,54.7,15,12,6,330.8,0,False,False,True
1.633,50,2,73.6,11,21,15,75.27,0,False,True,False
4.227,10,3,92.6,28,0,30,10.86,0,True,False,False
0.477,200,1,58.2,29,17,5,356.1,0,False,False,True
4.804,10,3,96.9,10,21,31,12.66,0,True,False,False
2.086,50,2,77.9,10,15,17,77.72,0,False,True,False
0.58,200,1,92.3,43,14,7,381.05,0,False,False,True
0.627,200,1,85.8,9,6,5,349.99,0,False,False,True
0.428,200,1,84.1,40,11,5,377.06,0,False,False,True
0.52,200,1,44.0,49,17,6,362.92,0,False,False,True
0.628,200,1,71.6,30,6,5,364.64,0,False,False,True
1.797,50,2,96.1,9,12,15,86.75,0,False,True,False
1.733,50,2,84.2,34,2,17,81.28,0,False,True,False
0.477,200,1,77.4,28,20,5,359.64,0,False,False,True
0.606,200,1,69.5,15,5,6,339.58,0,False,False,True
0.584,200,1,44.0,18,22,6,331.51,0,False,False,True
0.413,200,1,89.0,6,13,7,339.66,0,False,False,True
6.262,10,3,86.6,19,20,30,13.36,0,True,False,False
0.425,200,1,94.8,46,23,5,387.49,0,False,False,True
5.254,10,3,53.3,44,12,32,12.95,0,True,False,False
0.521,200,1,67.2,3,14,6,327.12,0,False,False,True
0.525,200,1,74.5,35,17,5,363.96,0,False,False,True
0.603,200,1,70.9,41,4,5,370.7,0,False,False,True
1.865,50,2,81.9,47,6,15,85.49,0,False,True,False
2.515,50,2,56.7,5,22,17,72.96,0,False,True,False
2.395,50,2,66.0,23,15,17,80.12,0,False,True,False
0.437,200,1,74.9,11,4,5,339.45,0,False,False,True
0.403,200,1,71.3,15,13,7,336.6,0,False,False,True
1.902,50,2,91.0,24,8,15,81.38,0,False,True,False
6.369,10,3,64.1,16,0,32,16.37,0,True,False,False
0.471,200,1,90.6,28,2,5,372.4,0,False,False,True
6.42,10,3,84.4,48,6,31,16.38,0,True,False,False
0.471,200,1,42.7,27,6,5,336.81,0,False,False,True
0.481,200,1,65.1,43,17,5,367.77,0,False,False,True
5.381,10,3,42.9,47,15,32,14.08,0,True,False,False
4.641,10,3,50.9,6,12,32,9.74,1,True,False,False
0.497,200,1,67.6,47,4,5,379.7,0,False,False,True
2.242,50,2,41.3,48,9,15,85.42,0,False,True,False
2.032,50,2,83.5,1,14,15,79.1,0,False,True,False
0.413,200,1,48.0,33,4,5,349.34,0,False,False,True
0.536,200,1,56.2,47,23,5,366.63,0,False,False,True
0.64,200,1,71.2,1,0,6,333.5,0,False,False,True
0.44,200,1,67.8,29,17,5,360.2,0,False,False,True
2.23,50,2,56.7,17,16,16,73.47,0,False,True,False
4.642,10,3,80.7,4,16,30,10.39,0,True,False,False
0.51,200,1,83.9,11,22,6,342.0,0,False,False,True
0.647,200,1,42.2,30,1,5,341.03,0,False,False,True
0.617,200,1,53.3,25,14,6,338.92,0,False,False,True
0.454,200,1,82.1,27,11,5,360.64,0,False,False,True
1.656,50,2,44.6,21,9,16,74.63,0,False,True,False
0.564,200,1,70.4,48,19,6,378.54,0,False,False,True
4.875,10,3,64.2,11,2,30,14.92,0,True,False,False
0.569,200,1,84.3,27,4,5,360.22,0,False,False,True
4.405,10,3,96.1,36,18,30,12.69,0,True,False,False
2.317,50,2,80.2,28,0,16,84.44,0,False,True,False
2.45,50,2,67.4,38,20,17,87.54,0,False,True,False
0.529,200,1,46.0,2,9,9,305.08,0,False,False,True
